age,workclass,fnlwgt,education,education_num,married_status,occupation,relationship,race,sex,capital_gain,capital_loss,hrs_pr_week,native_country,income
32,Private,50753,high-school,9,married,Transport-moving,Husband,White,Male,0,0,40,United-States,0
45,State-gov,144351,Masters,14,married,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
35,Local-gov,252217,school,8,married,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
64,Private,69525,high-school,9,Married-spouse-absent,Craft-repair,Unmarried,White,Male,0,0,20,United-States,0
63,Self-emp-not-inc,28612,high-school,9,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0,70,United-States,0
58,Private,215190,school,7,married,Other-service,Husband,White,Male,0,0,20,United-States,0
38,Private,117528,Bachelors,13,Never-married,Other-service,Other-relative,White,Female,0,0,45,United-States,0
44,Private,160785,Bachelors,13,married,Sales,Husband,White,Male,0,0,60,United-States,1
33,Private,93213,high-school,9,married,Craft-repair,Husband,White,Male,0,0,45,United-States,0
47,Local-gov,242552,higher,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,0,40,United-States,0
26,Private,248612,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,1
55,Private,200235,high-school,9,married,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
19,Private,263568,school,6,Never-married,Handlers-cleaners,Own-child,White,Male,594,0,35,United-States,0
41,Private,195821,Doctorate,16,married,Exec-managerial,Wife,White,Female,0,1902,40,United-States,1
62,Private,194167,high-school,9,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,2174,0,40,United-States,0
35,Private,51700,higher,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
19,Private,167087,high-school,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
35,Private,194490,high-school,9,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,0
55,Self-emp-not-inc,189933,school,4,married,Farming-fishing,Husband,White,Male,0,0,50,United-States,0
47,Private,105449,Bachelors,13,married,Sales,Husband,White,Male,0,0,65,United-States,1
46,Private,695411,high-school,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,0
21,Private,197387,high-school,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0
39,Private,181983,Doctorate,16,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0,2559,60,England,1
46,Self-emp-not-inc,198759,higher,15,married,Prof-specialty,Husband,White,Male,0,2415,80,United-States,1
26,Private,94477,higher,10,married,Transport-moving,Husband,White,Male,7298,0,55,United-States,1
22,Private,383603,higher,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
